,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
ANKRD26,295,175,183,127,417,813,286,396,612,677,305,431,638,821,610,598
YME1L1,7038,2691,3164,2855,11175,10254,3223,5535,14876,8594,4515,10404,14686,13229,10379,12871
MASTL,820,307,234,722,1173,864,297,1138,1655,844,341,1909,2516,1773,1126,4151
ACBD5,909,470,728,714,1375,1922,835,1347,2033,1738,930,1937,1937,1992,2234,3251
LINC02673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB18,2001,992,1067,1069,2832,2547,1121,1792,4065,2466,1750,3608,3795,3122,3195,3443
LINC02680,5,3,0,0,2,10,6,9,6,14,12,9,9,17,12,11
MKX,38,18,20,16,20,4,50,8,12,16,10,10,18,26,2,0
MKX-AS1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ODAD2,0,6,0,4,0,4,0,0,0,2,0,0,10,2,4,4
MPP7,288,402,481,297,487,2152,584,957,510,1497,826,1143,743,1735,1262,1160
MPP7-DT,0,0,2,0,0,5,1,0,0,0,9,0,0,6,2,0
LINC02652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WAC-AS1,793,421,626,363,1219,1593,696,873,1478,1574,948,1718,1176,1418,1704,1570
WAC,7124,4334,4997,4141,10041,17491,5631,9234,13942,14843,7232,14442,13693,17830,16607,18306
BAMBI,10,26,2,14,16,24,0,24,14,10,12,16,28,16,20,64
LINC01517,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0
LINC00837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYZL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVIL,893,371,492,280,870,361,365,306,1849,1126,900,752,1855,1272,1364,1330
JCAD,10,12,6,6,8,2,4,2,8,4,14,22,6,12,12,2
MTPAP,857,264,260,285,1878,880,404,593,1866,1049,471,944,1746,1209,962,973
MAP3K8,1400,1419,498,591,2020,2979,519,1570,4992,4592,1602,4508,2116,6545,3885,2927
LYZL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02644,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ZNF438,299,160,360,314,478,387,224,543,791,368,527,1259,932,569,1289,2230
LINC02664,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
ZEB1-AS1,97,48,63,31,179,300,62,120,156,245,122,155,261,250,186,196
ZEB1,1658,802,734,609,2358,5539,915,1899,3196,3887,1330,2400,3155,4765,3078,2945
MACORIS,0,0,0,4,0,0,10,0,0,0,0,0,0,0,14,0
ARHGAP12,443,451,346,343,553,1361,553,731,764,1185,675,1008,690,1282,1210,1383
KIF5B,7245,2665,3180,2545,10151,7711,3341,5212,14686,7964,4433,8908,12490,10833,11294,11086
EPC1,2124,1640,1617,1463,3192,5787,1990,3484,3950,5183,2764,5273,3791,6298,5405,5538
EPC1-AS1,1,0,2,0,2,1,0,2,3,2,2,0,1,0,3,5
CCDC7,91,26,57,18,129,237,140,130,161,249,103,96,196,196,166,190
ITGB1,3894,2708,4465,2830,6518,10795,6211,5733,7425,8019,7496,6941,7058,10083,16807,9943
ITGB1-DT,0,14,9,0,2,42,23,6,2,9,26,5,2,12,22,16
IATPR,4,0,2,0,4,17,27,10,10,10,9,18,6,9,10,7
NRP1,1903,483,2138,592,1648,322,1572,381,3261,1021,6154,1433,2989,1107,5219,2062
LINC02628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARD3,30,54,12,20,34,14,12,24,18,48,46,68,92,58,32,86
PARD3-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
LINC02635,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
CUL2,2255,908,869,788,3780,2723,1021,1791,4328,2408,1291,2715,4782,3583,2663,2872
CREM,2290,1299,511,1050,2654,2841,334,1426,4937,3192,1867,3933,4877,7388,3823,4367
LINC02634,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0
CCNY,2623,1204,1749,1221,3974,4488,2151,2939,4992,4386,3047,4962,5458,4828,6301,4885
CCNY-AS1,20,8,20,31,41,89,36,79,29,41,23,50,58,73,55,63
GJD4,0,0,0,0,7,6,0,6,2,0,2,4,0,0,5,0
FZD8,38,20,16,38,52,58,40,34,60,40,28,32,54,74,42,42
PCAT5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD30A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF248,230,167,201,139,335,846,312,339,376,764,527,290,446,851,780,494
ZNF25,370,239,438,276,469,985,388,579,803,905,618,809,664,1031,1138,891
ZNF25-DT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF33A,1439,1146,1264,978,2205,5136,1512,2892,2592,4899,2071,3853,2909,4753,3846,3902
ZNF37A,1689,606,527,422,3132,2193,718,1190,3289,2255,950,1800,3272,2583,1918,1787
IGKV1OR10-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00839,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0
ZNF33B,540,537,438,505,780,3027,915,1685,1029,2666,1174,1981,1434,2542,2028,2196
LINC01518,0,10,0,0,0,0,0,6,4,2,0,0,0,0,6,0
LINC02632,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
BMS1,5000,1005,1037,826,8273,3825,1252,1833,10295,4137,1861,3167,9864,5725,4267,3984
LINC02623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RET,12,16,18,75,15,14,4,170,12,4,18,89,6,19,54,920
CSGALNACT2-DT,0,11,8,0,22,28,12,14,12,10,30,12,10,28,36,24
CSGALNACT2,2346,1530,2519,1862,3063,6015,2450,3328,4635,3945,3104,3464,4380,5931,8469,7711
RASGEF1A,298,170,190,156,193,228,272,227,135,298,151,157,165,153,240,211
LINC02633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FXYD4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
HNRNPF,18436,4969,4527,4826,32762,18626,6000,12246,40577,19686,9718,27527,43722,23372,18230,19230
LINC02916,34,30,17,10,37,41,21,30,135,71,47,58,40,32,24,40
ZNF487,66,81,102,22,86,248,64,85,94,124,104,138,80,220,213,112
ZNF239,110,38,18,44,210,157,49,111,268,181,88,160,240,195,158,189
ZNF485,141,70,69,80,286,251,76,137,373,303,191,289,357,292,206,270
ZNF32-AS3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0
ZNF32,501,292,290,277,829,1249,429,668,886,1004,873,1065,1122,1035,973,785
ZNF32-AS1,76,31,34,42,130,202,75,85,106,191,161,226,167,142,136,142
ZNF32-AS2,67,60,56,53,100,214,68,119,140,155,120,155,150,162,167,131
LINC02658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00840,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
LINC02659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC02881,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CXCL12,8,18,8,218,12,0,6,242,0,8,2,78,0,11,6,239
TMEM72-AS1,10,8,0,0,0,7,2,2,2,7,3,14,0,6,2,2
TMEM72,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0
RASSF4,706,796,1021,1342,708,1498,1434,3427,4846,3760,4774,9850,2003,3270,5213,8912
DEPP1,140,116,112,141,156,241,148,507,888,720,671,934,414,567,599,908
ZNF22-AS1,18,1,20,12,34,37,12,22,14,52,40,49,50,36,31,42
ZNF22,1294,563,668,646,1995,2078,713,1109,2145,1546,912,1862,2359,2152,1887,1803
OR13A1,0,0,0,0,0,0,0,0,0,10,4,0,2,2,4,4
ALOX5,407,256,1366,373,664,1716,1507,1726,1383,1590,1788,1281,1658,2403,7105,3285
MARCHF8,1401,1379,1213,1415,2619,7716,1995,4585,3507,6749,2895,7005,3958,6365,4863,5929
ZFAND4,450,277,265,230,616,989,369,528,784,975,494,1031,767,1004,816,958
WASHC2C,1523,854,1406,1071,2281,4511,1405,3025,2628,3243,1749,3643,3907,4582,5239,6723
AGAP4,140,104,126,80,198,407,157,229,184,392,164,171,332,480,573,345
TIMM23,2140,434,440,411,3405,1178,583,763,4422,1427,976,1978,4315,2269,2084,1660
NCOA4,6283,3593,5021,5170,9375,9307,5004,7200,18189,10633,9965,16759,15621,14912,21118,26679
MSMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTXRL,2,0,0,3,0,0,4,0,0,0,0,3,0,0,0,1
ANXA8L1,0,12,0,22,2,10,0,16,20,40,2,40,12,48,44,40
LINC00842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPY4R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPRIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT15,0,0,4,6,4,6,2,18,2,8,0,3,2,4,9,10
SYT15-AS1,2,2,0,2,0,8,11,3,2,6,11,10,6,4,16,47
LINC02637,0,2,0,2,0,0,4,0,4,2,6,9,2,2,8,9
FAM245B,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PTPN20,18,0,0,2,10,34,6,8,75,76,50,56,33,36,8,30
GDF10,22,6,34,2,8,46,30,40,2,10,24,14,35,20,36,36
GDF2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
RBP3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
ZNF488,2,0,0,0,0,0,6,0,0,2,0,6,10,0,0,0
ANXA8,4,14,0,8,2,9,0,14,16,49,0,58,5,74,28,48
FAM25G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP9,268,111,186,121,260,361,142,324,1030,1337,518,778,385,404,355,536
LINC02675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT15B,0,0,0,0,2,0,2,0,0,0,2,0,6,2,7,3
NPY4R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM25C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRMPD2,0,0,0,0,0,2,0,2,4,10,0,17,4,0,4,8
MAPK8,942,738,695,555,1379,1828,780,1085,1713,1796,1225,1355,1687,2223,2036,1785
ARHGAP22,165,76,531,254,124,95,447,614,214,235,497,1295,407,201,2336,1683
ARHGAP22-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
WDFY4,2001,1335,1858,1391,3250,6977,2300,4074,4912,8371,3614,6202,6998,10558,7991,10982
LRRC18,0,0,0,0,2,0,0,0,3,6,6,0,0,0,8,4
VSTM4,44,20,18,10,84,33,12,16,35,42,50,30,14,49,42,28
FAM170B-AS1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
FAM170B,0,0,2,0,11,3,0,0,8,0,0,0,0,0,0,0
TMEM273,1223,199,334,153,2203,658,397,420,1352,512,441,359,1226,522,703,346
C10orf71-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10orf71,4,0,2,4,0,0,0,0,1,0,1,2,0,0,0,2
DRGX,0,2,0,2,0,2,0,4,0,4,0,14,0,0,12,16
ERCC6,698,511,819,626,884,2400,819,1179,1200,2292,1031,1517,1293,2243,1996,2171
CHAT,0,6,0,0,2,0,0,0,1,0,0,0,0,0,0,4
SLC18A3,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0
C10orf53,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0
OGDHL,160,144,36,114,74,4,76,64,8,18,72,32,12,12,14,17
PARG,926,460,469,401,1705,1811,716,1017,1985,1726,1000,1551,2143,1919,1759,1816
TIMM23B,499,192,222,146,804,658,210,467,1058,846,299,663,990,907,612,740
TIMM23B-AGAP6,850,381,449,297,1217,1517,425,1109,1851,2007,817,1201,1629,1592,1350,1372
AGAP6,474,242,272,180,645,1036,249,773,1065,1375,632,740,919,1009,911,827
WASHC2A,1527,848,1149,888,2109,3549,1241,2269,2934,3427,1472,3664,3333,3568,3911,5264
ASAH2,38,18,8,20,53,58,13,32,33,22,7,12,10,23,4,0
SGMS1,940,464,1029,760,1176,1636,1209,1108,2310,1431,1537,1690,1907,2094,3561,3562
SGMS1-AS1,88,142,132,73,178,368,230,247,205,456,240,239,248,452,402,303
ASAH2B,106,59,73,36,172,168,51,155,284,236,119,178,404,347,225,309
A1CF,2,0,3,1,9,4,6,4,2,16,2,5,7,8,7,14
PRKG1,60,38,20,12,10,2,6,6,2,2,19,7,10,5,6,71
CSTF2T,2573,1344,1030,896,4182,5166,1365,2990,5679,5470,2260,5013,5311,6487,4214,4758
PRKG1-AS1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,2
DKK1,0,2,0,0,0,0,2,2,0,0,0,0,0,2,0,0
LNCAROD,3,6,0,4,0,17,8,1,30,18,24,33,17,33,64,15
MBL2,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
LINC02672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDH15,0,0,4,0,1,0,0,4,0,0,0,0,0,0,0,2
ZWINT,824,48,40,48,2163,149,72,74,1758,136,104,100,2673,285,182,132
IPMK,548,268,382,420,850,783,457,600,1210,806,501,779,1018,1125,1449,1826
CISD1,466,74,84,92,1058,431,134,252,954,392,204,388,1136,438,305,276
UBE2D1,927,432,627,532,1512,1118,565,995,2286,1155,1113,1960,1862,1674,1715,2489
TFAM,2838,681,681,576,4906,2312,780,1154,4776,2144,1100,2253,5287,3206,2098,2115
BICC1,22,40,6,40,12,8,26,10,2,12,10,8,4,4,12,0
LINC00844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHYHIPL,322,344,153,263,199,42,207,193,20,74,88,52,14,26,60,28
FAM13C,25,45,18,22,20,0,27,12,2,6,5,1,0,8,4,4
SLC16A9,48,0,0,9,34,26,2,10,86,19,0,26,82,36,6,19
MRLN,0,0,0,0,4,0,2,0,0,2,0,0,4,1,0,0
CCDC6,1972,580,646,538,3356,2112,807,1139,4236,2080,802,1781,3435,2593,2164,2778
LINC01553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ANK3,2048,1499,553,1276,1956,3485,748,2339,5036,7678,2550,7238,2499,4162,2131,3348
ANK3-DT,4,8,0,9,10,25,2,19,20,86,29,114,6,36,9,9
CDK1,161,80,36,56,410,77,36,21,327,92,48,58,574,139,56,63
RHOBTB1,34,4,28,8,4,4,64,24,6,22,2,14,30,34,155,90
LINC00845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMEM26,0,12,2,19,6,8,32,22,93,37,32,65,33,119,269,431
TMEM26-AS1,0,4,1,7,7,4,3,8,21,8,10,28,8,28,76,101
CABCOCO1,0,0,0,0,6,0,0,2,0,0,0,0,0,2,0,0
LINC02625,0,0,0,0,4,0,0,0,0,2,0,7,0,0,1,0
ARID5B,2638,1754,994,1300,5240,6457,1322,3392,8801,8320,2915,7135,6544,9444,5561,9640
RTKN2,210,68,85,108,443,644,207,324,1132,1481,569,994,518,705,399,445
LINC02621,9,6,2,23,3,0,1,4,0,0,0,6,17,2,6,85
ZNF365,309,132,52,199,199,158,97,133,237,89,69,153,405,115,171,559
LINC02929,6,0,0,4,2,3,0,2,5,0,6,0,6,0,2,7
ADO,2072,407,709,558,3052,1666,736,1012,3572,1578,1290,2049,4726,2277,2563,2542
EGR2,7015,225,1613,1236,6187,1119,580,1913,7385,873,4225,3746,11441,1692,8808,6666
NRBF2,1162,359,557,814,1670,1140,573,1350,2214,1380,996,2234,2367,1931,2210,4026
JMJD1C,4898,3872,3029,3731,6036,11378,3129,7887,9404,11915,3282,11499,10253,14187,9766,16096
JMJD1C-AS1,15,12,13,24,34,55,4,55,60,44,40,50,46,19,48,71
REEP3,900,339,627,452,1109,924,574,789,1634,1076,823,1739,1890,1406,2049,2169
LINC02671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC01515,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6
CTNNA3,0,0,0,2,2,1,0,0,2,1,0,2,0,4,0,2
LRRTM3,102,70,10,58,68,6,42,32,6,14,46,10,0,6,12,4
DNAJC12,32,8,0,6,36,4,8,0,44,10,8,2,30,8,2,12
SIRT1,1354,826,1006,678,1964,2968,1128,1569,2481,2433,1275,2518,2626,3128,2887,3373
HERC4,1619,911,939,1031,2384,4029,1463,2350,2970,3335,1883,3264,3141,3819,3182,3513
MYPN,12,10,2,10,0,2,0,0,6,2,0,10,6,16,17,8
ATOH7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
LINC02640,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
PBLD,115,76,85,32,117,304,119,237,133,325,130,159,194,270,300,318
HNRNPH3,4751,2058,2277,1484,7908,7393,3047,4420,10035,8128,3864,6319,9846,8649,8441,7458
RUFY2,746,448,420,292,1075,1314,548,840,1497,1455,657,947,1409,1605,1442,1429
DNA2,320,63,46,60,758,236,66,136,867,256,74,177,1314,347,222,178
SLC25A16,512,165,280,208,725,691,367,500,937,976,515,654,790,791,727,684
TET1,12,10,32,18,36,122,57,28,36,79,48,32,41,60,74,29
CCAR1,4038,1575,1970,1423,6754,5154,1948,3122,7564,6019,2517,3601,7840,6919,5975,5379
STOX1,22,2,4,4,46,16,7,18,32,20,4,10,26,34,14,14
DDX50,1587,756,757,762,2710,2870,1045,1503,3035,2262,1565,2593,3231,3337,2676,2676
DDX21,21023,2728,2220,2322,35296,9738,2421,5478,41986,10819,3637,11517,37199,16280,8965,10908
KIFBP,438,346,360,329,588,753,374,497,842,850,621,883,994,1151,1300,1150
SRGN,8302,6273,4792,7802,11156,13808,6065,10932,22007,15299,15092,27521,16696,24736,27669,36700
VPS26A,1616,612,912,844,2311,2126,976,1388,3008,1695,1589,2224,2837,2478,3174,3654
SUPV3L1,1219,450,292,329,2063,1630,474,699,2603,1623,800,1291,2712,1998,1591,1382
HKDC1,24,5,25,18,55,125,65,57,31,147,140,59,20,60,62,45
HK1,8454,2334,3947,2172,12847,7865,4456,4215,19102,10196,5544,10101,17880,10310,14591,9338
TACR2,12,12,6,2,22,2,10,6,39,12,6,13,17,13,10,4
TSPAN15,94,46,34,50,68,107,80,106,261,241,173,477,167,156,254,193
NEUROG3,0,2,4,2,0,4,0,0,0,3,0,1,1,6,3,1
FAM241B,138,46,33,44,220,102,31,63,418,176,74,210,272,98,78,80
LINC02651,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
COL13A1,0,0,16,0,0,12,22,0,0,0,6,5,0,7,19,12
LINC02636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACROH2A2,113,137,240,192,65,238,161,154,159,167,225,397,195,259,415,426
AIFM2,838,452,397,636,1122,795,269,1029,2263,974,581,2580,1706,1263,1367,2994
TYSND1,732,406,649,406,1172,2461,934,1480,1053,2093,1323,1483,1511,1740,1835,1296
SAR1A,3298,1347,1463,1503,4923,4298,1504,2714,6903,4544,2595,5845,6582,6121,4922,5527
PPA1,6219,971,510,677,10621,2509,665,1377,12719,3110,2254,6786,11974,4352,2051,2812
NPFFR1,6,14,4,7,10,6,0,2,77,50,6,58,16,30,6,2
LRRC20,90,32,26,20,270,104,63,46,300,81,52,56,437,78,80,66
EIF4EBP2,3380,1885,2644,1709,6629,7822,3306,4408,7285,8051,4275,6552,8398,8570,8941,7313
NODAL,4,0,0,8,0,3,10,8,12,21,2,7,10,11,21,21
PALD1,159,66,91,131,363,142,148,71,192,142,138,210,218,224,560,476
PRF1,16209,6907,2294,3733,27425,20954,6302,21993,36501,24450,6436,41404,18897,14575,5219,8144
ADAMTS14,104,135,30,175,161,64,29,405,957,266,1200,1479,247,109,274,967
TBATA,4,0,0,0,0,0,0,0,1,0,0,0,1,0,9,2
SGPL1,1813,842,2326,999,2480,2460,2535,1773,4231,2774,2580,2888,3239,3185,7437,4839
PCBD1,337,90,193,146,608,428,299,284,788,421,280,461,1068,531,1167,895
LINC02622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC5B,60,54,58,62,44,8,50,14,38,27,30,16,31,36,114,26
UNC5B-AS1,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0
SLC29A3,406,134,441,180,469,459,371,296,606,556,418,592,725,513,1490,941
CDH23,149,70,220,132,74,121,227,166,229,425,236,556,255,140,520,738
CDH23-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10orf105,28,6,12,16,2,15,30,27,27,37,23,38,56,6,99,201
VSIR,3340,438,2136,786,2647,2186,4014,1863,3671,2963,5012,3816,5763,1855,8313,5726
PSAP,19531,11024,62173,32754,20790,27355,51324,44890,61408,34387,53557,112366,53720,43371,241189,219017
CHST3,64,14,16,48,18,0,2,26,44,74,30,399,56,13,4,14
SPOCK2,9303,12991,15010,8700,11133,48990,16529,22801,22630,54364,31419,34959,18906,48261,43960,32410
ASCC1,818,401,315,315,1302,1351,385,576,2059,1515,879,1377,1821,1906,1296,1308
ANAPC16,2667,1446,1651,1312,3613,5417,1726,2642,5266,5586,4444,5777,5481,7315,5682,4736
DDIT4,4262,2427,512,646,6030,4811,422,959,19446,9057,3490,3236,6890,13788,7041,2484
DNAJB12,2005,853,1121,964,2784,2639,1233,2199,4460,3210,2265,4454,3802,4198,4871,5073
MICU1,1363,521,695,1129,1890,1793,728,1590,3098,1542,1289,2992,2661,2070,2753,4592
MCU,408,172,247,276,711,937,292,439,964,679,389,918,974,955,937,1133
OIT3,0,8,0,0,2,2,2,0,0,4,0,0,2,0,2,0
PLA2G12B,0,2,12,0,2,0,0,1,0,0,0,0,6,10,2,2
P4HA1,657,439,483,336,955,918,522,427,1115,985,846,1023,1263,1809,2320,1140
NUDT13,43,25,62,50,107,170,92,83,117,216,128,102,135,141,145,108
ECD,1332,415,474,477,2213,1964,585,898,2574,1607,1036,1612,2821,2287,1979,1953
FAM149B1,1295,489,532,493,2492,1815,657,1146,2953,1750,1143,1867,3344,2104,1791,1887
DNAJC9,1826,547,512,427,3798,1827,617,1056,4362,1801,1092,1767,4790,2215,1647,1539
DNAJC9-AS1,278,91,96,83,611,381,127,216,601,347,268,299,674,382,422,341
MRPS16,2256,629,796,586,4293,2300,951,1472,5040,2696,1713,2840,5445,3252,2849,2511
DNAJC9-AS1.1,22,17,29,32,48,93,55,64,71,84,99,85,81,73,67,70
CFAP70,56,65,61,35,65,256,133,133,142,317,139,188,116,178,200,132
ANXA7,4771,2215,2245,2302,7408,6583,2147,3443,12468,6726,4994,8948,10366,11206,8870,8598
MSS51,76,45,42,16,98,140,63,126,101,230,102,175,106,134,156,147
PPP3CB,2988,1643,1660,1857,3940,3622,1885,2622,4089,3302,2316,3432,4183,3691,3722,3443
PPP3CB-AS1,410,341,365,290,889,1360,598,1180,904,1207,750,1144,780,1169,1150,973
USP54,519,290,353,254,725,908,400,702,960,990,568,544,749,1109,826,762
MYOZ1,0,0,0,0,0,0,0,0,6,0,0,14,0,4,3,2
SYNPO2L,0,0,4,8,2,6,2,12,13,9,0,40,5,14,10,42
SYNPO2L-AS1,58,10,36,26,80,109,34,81,121,151,42,130,95,114,135,128
AGAP5,214,81,120,97,273,359,147,281,429,524,206,375,366,413,470,456
SEC24C,7617,3263,4106,3043,11319,12265,4416,7559,17791,12793,6407,12212,17648,15581,13978,14642
FUT11,716,403,605,293,1111,1420,815,1087,1776,1648,912,1361,1403,1699,1692,1547
CHCHD1,845,232,308,271,1292,944,410,555,1654,936,1000,1147,1645,1085,1101,894
ZSWIM8,4323,3965,3768,3109,5878,13302,4653,8475,9544,14532,6457,11837,8216,13131,13548,11842
ZSWIM8-AS1,1048,980,937,733,1520,3186,1154,2144,2268,3441,1602,2724,2039,3170,3238,2691
NDST2,2824,1830,1498,1499,3871,6326,1936,4377,8122,8210,4343,7440,6125,8468,7008,6213
CAMK2G,1266,1152,1064,935,2188,4172,1718,2468,2171,4119,2290,2619,2257,2924,2812,2350
