,D1i_Y_P_A_f,D1i_Y_P_L_f,D1i_Y_P_N_f,D1i_Y_P_P_f,D2i_O_P_A_f,D2i_O_P_L_f,D2i_O_P_N_f,D2i_O_P_P_f,D3i_O_P_A_f,D3i_O_P_L_f,D3i_O_P_N_f,D3i_O_P_P_f,D4i_Y_P_A_f,D4i_Y_P_L_f,D4i_Y_P_N_f,D4i_Y_P_P_f
POLR3A,1974,646,607,571,3015,2266,710,1191,4442,2327,1033,2023,3827,2748,2246,2159
RPS24,20862,6707,7238,7132,33575,32934,9755,16246,35964,26697,24853,30230,40128,30540,26638,23418
LINC00595,3,0,0,0,0,1,0,2,0,8,2,12,2,8,0,2
ZMIZ1-AS1,214,142,135,42,213,56,26,48,230,88,417,96,651,377,819,512
ZMIZ1,4704,2355,7498,2353,3844,4321,4226,2243,7153,10414,6294,5176,7656,11864,22166,11959
PPIF,3708,2082,1754,714,5880,2974,916,1486,9981,4866,4809,6594,7912,7044,9115,3547
ZCCHC24,136,132,148,123,174,231,110,118,137,294,178,190,159,243,393,190
EIF5AL1,56,64,10,42,212,95,35,36,69,39,12,54,206,99,63,80
SFTPA2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
SFTPA1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
LINC02679,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
NUTM2B-AS1,474,213,289,159,724,960,231,522,769,851,432,560,689,707,700,475
NUTM2B,10,2,14,0,10,18,16,23,18,30,4,8,10,24,13,26
NUTM2E,0,6,0,0,2,1,1,0,0,4,0,2,0,3,1,2
SFTPD,0,0,0,0,0,3,0,2,0,2,2,2,0,0,3,3
SFTPD-AS1,0,0,0,0,1,0,0,0,9,0,0,0,0,4,0,6
TMEM254-AS1,22,47,32,12,58,97,56,38,70,107,75,109,60,91,66,73
TMEM254,196,142,159,142,395,609,211,331,523,590,374,491,630,599,667,583
PLAC9,9,8,10,6,6,17,15,25,8,18,11,8,8,19,17,12
ANXA11,10332,2675,5998,3503,13723,11690,6098,7677,20358,13151,11887,17958,24740,13903,20413,17221
LINC00857,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
MAT1A,0,0,0,0,0,4,6,0,0,4,0,0,0,0,0,2
DYDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DYDC2,4,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0
PRXL2A,329,115,81,72,748,705,159,184,731,696,391,302,944,680,472,374
TSPAN14,4272,2560,4018,2928,5269,10995,4527,6953,9007,12012,8600,10578,8986,10360,13367,13331
TSPAN14-AS1,61,32,35,33,87,232,52,101,48,73,67,94,61,96,66,41
SH2D4B,2,0,0,0,10,16,9,6,10,12,6,9,6,16,2,1
